,matchId,date,status,match_day,home_team,home_team_id,away_team,away_team_id,winner,score
0,327173,2022-03-10 19:30:00+00:00,FINISHED,19,Wolverhampton Wanderers FC,76,Watford FC,346,HOME_TEAM,4:0
1,327066,2022-03-10 19:30:00+00:00,FINISHED,30,Norwich City FC,68,Chelsea FC,61,AWAY_TEAM,1:3
2,327154,2022-03-10 19:30:00+00:00,FINISHED,21,Southampton FC,340,Newcastle United FC,67,AWAY_TEAM,1:2
3,327166,2022-03-10 19:45:00+00:00,FINISHED,20,Leeds United FC,341,Aston Villa FC,58,AWAY_TEAM,0:3
4,327080,2022-03-12 12:30:00+00:00,FINISHED,29,Brighton & Hove Albion FC,397,Liverpool FC,64,AWAY_TEAM,0:2
5,327081,2022-03-12 15:00:00+00:00,FINISHED,29,Brentford FC,402,Burnley FC,328,HOME_TEAM,2:0
6,327075,2022-03-12 17:30:00+00:00,FINISHED,29,Manchester United FC,66,Tottenham Hotspur FC,73,HOME_TEAM,3:2
7,327073,2022-03-13 14:00:00+00:00,FINISHED,29,West Ham United FC,563,Aston Villa FC,58,HOME_TEAM,2:1
8,327074,2022-03-13 14:00:00+00:00,FINISHED,29,Southampton FC,340,Watford FC,346,AWAY_TEAM,1:2
9,327076,2022-03-13 14:00:00+00:00,FINISHED,29,Leeds United FC,341,Norwich City FC,68,HOME_TEAM,2:1
10,327077,2022-03-13 14:00:00+00:00,FINISHED,29,Everton FC,62,Wolverhampton Wanderers FC,76,AWAY_TEAM,0:1
11,327079,2022-03-13 14:00:00+00:00,FINISHED,29,Chelsea FC,61,Newcastle United FC,67,HOME_TEAM,1:0
12,327082,2022-03-13 16:30:00+00:00,FINISHED,29,Arsenal FC,57,Leicester City FC,338,HOME_TEAM,2:0
13,327078,2022-03-14 20:00:00+00:00,FINISHED,29,Crystal Palace FC,354,Manchester City FC,65,DRAW,0:0
14,327210,2022-03-16 19:30:00+00:00,FINISHED,16,Brighton & Hove Albion FC,397,Tottenham Hotspur FC,73,AWAY_TEAM,0:2
15,327102,2022-03-16 20:15:00+00:00,FINISHED,27,Arsenal FC,57,Liverpool FC,64,AWAY_TEAM,0:2
16,327167,2022-03-17 19:45:00+00:00,FINISHED,20,Everton FC,62,Newcastle United FC,67,HOME_TEAM,1:0
17,327063,2022-03-18 20:00:00+00:00,FINISHED,30,Wolverhampton Wanderers FC,76,Leeds United FC,341,AWAY_TEAM,2:3
18,327072,2022-03-19 12:30:00+00:00,FINISHED,30,Aston Villa FC,58,Arsenal FC,57,AWAY_TEAM,0:1
20,327070,2022-03-20 14:00:00+00:00,FINISHED,30,Leicester City FC,338,Brentford FC,402,HOME_TEAM,2:1
21,327065,2022-03-20 16:30:00+00:00,FINISHED,30,Tottenham Hotspur FC,73,West Ham United FC,563,HOME_TEAM,3:1
